LOCATION,ZIP,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,DATE_INCIDENT_BEGAN,LOCATION_TYPE_DESCRIPTION,PLACE_TYPE_DESCRIPTION,PLACE_DETAIL_DESCRIPTION,HIGHEST_NIBRS_DESCRIPTION,cluster,cluster_title,nearest_station,stations_in_radius,stations_in_radius_dist_m
300 RENSSELAER AV,28203,35.214569,-80.854572,Providence,3,2019/03/11 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",Bland,Bland,153.98
600 S COLLEGE ST,28202,35.222488,-80.847424,Central,476,2023/01/04 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",3rd St/Convention,"Brooklyn Village,3rd St/Convention","129.49,416.18"
100 W 4TH ST,28202,35.226412,-80.844208,Central,476,2021/11/13 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","300.47,327.83"
400 E TRADE ST,28202,35.224569,-80.839996,Central,476,2017/08/18 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,Credit Card/Teller Fraud,2,Fraud and Financial Crimes,7th Street,"CTC/Arena,3rd St/Convention,7th Street","135.56,298.43,342.74"
300 E PARK AV,28203,35.212774,-80.854414,Providence,3,2025/04/03 00:00:00+00,Outdoors,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,Bland,Bland,347.96
100 E KINGSTON AV,28203,35.213515,-80.857685,Central,3,2025/11/01 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,Simple Assault,0,"""Violent and Public Safety Offenses""",East/West,East/West,220.85
400 E 3RD ST,28202,35.223007,-80.842269,Central,476,2023/07/19 00:00:00+00,Outdoors,Open Area,Other - Open Area,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,CTC/Arena,"3rd St/Convention,CTC/Arena,Brooklyn Village","98.25,235.05,461.36"
300 W TREMONT AV,28203,35.210672,-80.86189,Central,338,2017/10/06 00:00:00+00,Outdoors,Open Area,Construction Site,All Other Thefts,8,Theft and Vehicle Offenses,East/West,East/West,284.72
300 E 7TH ST,28202,35.228585,-80.838701,Central,476,2019/02/05 00:00:00+00,Parking Lot,Open Area,Other - Open Area,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",9th Street,"7th Street,9th Street,CTC/Arena","162.23,358.76,466.85"
200 E BLAND ST,28203,35.217008,-80.854286,Central,339,2019/09/08 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",Bland,Bland,158.91
200 N CALDWELL ST,28202,35.224565,-80.837927,Central,476,2021/09/19 00:00:00+00,Outdoors,Open Area,Street/Highway,Justifiable Homicide,9,"""Fatal Incidents and Investigations""",7th Street,"7th Street,CTC/Arena","294.69,318.81"
600 N BREVARD ST,28202,35.228386,-80.834577,Central,476,2017/07/01 00:00:00+00,Indoors,Open Area,Construction Site,Burglary/B&E,7,"""Coercive and Violent Offenses""",9th Street,"9th Street,7th Street","150.72,342.31"
400 E 3RD ST,28201,35.223007,-80.842269,Central,476,2021/12/19 00:00:00+00,Outdoors,Open Area,Other - Open Area,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,CTC/Arena,"3rd St/Convention,CTC/Arena,Brooklyn Village","98.25,235.05,461.36"
100 N TRYON ST,28202,35.227199,-80.843083,Central,476,2022/01/05 00:00:00+00,Outdoors,Open Area,Other - Open Area,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
2200 HAWKINS ST,28203,35.208609,-80.863631,Central,338,2024/05/05 00:00:00+00,Parking Deck,Residential,Apartment/Duplex Private Res,All Other Thefts,8,Theft and Vehicle Offenses,East/West,East/West,548.93
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2022/11/23 00:00:00+00,Other,Open Area,Cyberspace,Pornography/Obscene Material,5,Sexual Exploitation Crimes,7th Street,"CTC/Arena,7th Street","384.08,477.44"
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2023/11/04 00:00:00+00,Other,Public/Non-Residential,Air/Bus/Train Terminal,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
200 N CHURCH ST,28202,35.228926,-80.843025,Central,476,2022/09/23 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,All Other Thefts,8,Theft and Vehicle Offenses,CTC/Arena,CTC/Arena,460.12
300 S TRYON ST,28202,35.225651,-80.845306,Central,476,2018/06/15 00:00:00+00,Outdoors,Open Area,Other - Open Area,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"3rd St/Convention,CTC/Arena","304.97,363.6"
100 W TRADE ST,28202,35.227199,-80.843083,Central,476,2017/04/27 00:00:00+00,Outdoors,Open Area,Other - Open Area,Robbery,7,"""Coercive and Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
100 W TREMONT AV,28203,35.210487,-80.860549,Central,338,2025/09/08 00:00:00+00,Parking Deck,Residential,Apartment/Duplex Private Res,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",East/West,East/West,204.25
2200 HAWKINS ST,28203,35.208609,-80.863631,Central,338,2023/09/26 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,All Other Thefts,8,Theft and Vehicle Offenses,East/West,East/West,548.93
400 N TRYON ST,28202,35.229505,-80.839786,Central,476,2018/07/25 00:00:00+00,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,False Pretenses/Swindle,2,Fraud and Financial Crimes,9th Street,"7th Street,9th Street","298.13,436.04"
1900 SOUTH BV,28203,35.210775,-80.858795,Central,3,2025/04/13 00:00:00+00,Outdoors,Retail,Auto Parts/Service Center,Motor Vehicle Theft,8,Theft and Vehicle Offenses,East/West,East/West,133.63
400 E MARTIN LUTHER KING JR BV,28202,35.222248,-80.843363,Central,476,2021/05/17 00:00:00+00,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,Trespass Of Real Property,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"3rd St/Convention,Brooklyn Village,CTC/Arena","153.54,339.15,354.1"
300 N CALDWELL ST,28202,35.225305,-80.836821,Central,476,2023/11/27 00:00:00+00,Outdoors,Open Area,Street/Highway,Simple Assault,0,"""Violent and Public Safety Offenses""",7th Street,"7th Street,CTC/Arena","240.45,417.16"
200 S TRYON ST,28202,35.226412,-80.844208,Central,476,2018/12/22 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Thefts,8,Theft and Vehicle Offenses,CTC/Arena,"CTC/Arena,3rd St/Convention","300.47,327.83"
1900 SOUTH BV,28203,35.210775,-80.858791,Central,3,2017/11/21 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",East/West,East/West,133.72
300 E 8TH ST,28202,35.229332,-80.837656,Central,476,2018/07/04 00:00:00+00,Outdoors,Open Area,Other - Open Area,Drug/Narcotic Violations,1,"""Regulatory and Non-Violent Offenses""",9th Street,"7th Street,9th Street","237.09,245.11"
100 N TRYON ST,28212,35.227199,-80.843083,Central,476,2019/06/12 00:00:00+00,Outdoors,Commercial Place,Financial Institution,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
1400 S TRYON ST,28203,35.216686,-80.855588,Central,339,2023/01/21 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,8,Theft and Vehicle Offenses,Bland,Bland,98.98
200 S BREVARD ST,28202,35.223788,-80.841164,Central,476,2017/04/29 00:00:00+00,Parking Lot,Commercial Place,Other - Commercial Place,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,CTC/Arena,"CTC/Arena,3rd St/Convention","135.98,173.67"
300 W SUMMIT AV,28203,35.218454,-80.859295,Central,339,2023/03/05 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",Bland,Bland,467.12
200 E TRADE ST,28202,35.226243,-80.841973,Central,476,2018/01/10 00:00:00+00,Outdoors,Commercial Place,Other - Commercial Place,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
200 E TRADE ST,28202,35.226243,-80.841973,Central,476,2017/03/11 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
600 N CHURCH ST,28202,35.232696,-80.837638,Central,476,2025/06/12 00:00:00+00,Indoors,Open Area,Other - Open Area,Simple Assault,0,"""Violent and Public Safety Offenses""",9th Street,9th Street,409.9
600 N CHURCH ST,28202,35.232696,-80.837638,Central,476,2025/06/12 00:00:00+00,Parking Deck,Open Area,Other - Open Area,Motor Vehicle Theft,8,Theft and Vehicle Offenses,9th Street,9th Street,409.9
100 S TRYON ST,28202,35.227199,-80.843083,Central,476,2025/10/09 00:00:00+00,Outdoors,Commercial Place,Other - Commercial Place,Shoplifting,4,"""Theft-Related Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
900 N COLLEGE ST,28206,35.232917,-80.832622,Central,476,2020/05/09 00:00:00+00,Outdoors,Open Area,Street/Highway,Simple Assault,0,"""Violent and Public Safety Offenses""",9th Street,9th Street,417.26
1900 CAMDEN RD,28278,35.211597,-80.859634,Central,388,2022/05/08 00:00:00+00,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,All Other Thefts,8,Theft and Vehicle Offenses,East/West,East/West,56.84
300 E 4TH ST,28202,35.225467,-80.843098,Central,476,2024/12/07 00:00:00+00,Parking Deck,Commercial Place,Other - Commercial Place,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","163.83,205.97"
500 N TRYON ST,28202,35.230244,-80.838738,Central,476,2018/06/29 00:00:00+00,Indoors,Retail,Convenience Store,Intimidation,7,"""Coercive and Violent Offenses""",9th Street,9th Street,345.45
100 W TREMONT AV,28203,35.210487,-80.860549,Central,338,2024/04/04 00:00:00+00,Other,Open Area,Cyberspace,Hacking/Computer Invasion,2,Fraud and Financial Crimes,East/West,East/West,204.25
200 E TRADE ST,28202,35.226243,-80.841973,Central,476,2019/01/04 00:00:00+00,Outdoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
600 N CHURCH ST,28202,35.232696,-80.837638,Central,476,2023/08/11 00:00:00+00,Other,Commercial Place,Restaurant/Diner/Coffee Shop,Credit Card/Teller Fraud,2,Fraud and Financial Crimes,9th Street,9th Street,409.9
300 S TRYON ST,28202,35.225651,-80.845306,Central,476,2020/06/27 00:00:00+00,Outdoors,Open Area,Street/Highway,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"3rd St/Convention,CTC/Arena","304.97,363.6"
700 E 7TH ST,28202,35.224416,-80.833784,Central,476,2020/04/15 00:00:00+00,Parking Deck,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,7th Street,7th Street,498.11
100 E TRADE ST,28202,35.227199,-80.843083,Central,476,2022/05/28 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
400 N COLLEGE ST,28202,35.228585,-80.838701,Central,476,2025/05/04 00:00:00+00,Parking Lot,Public/Non-Residential,Other - Public/Non-Residential,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,9th Street,"7th Street,9th Street,CTC/Arena","162.23,358.76,466.85"
600 S CALDWELL ST,28202,35.219373,-80.84663,Central,476,2023/10/26 00:00:00+00,Indoors,Retail,Drug Store,Credit Card/Teller Fraud,2,Fraud and Financial Crimes,Brooklyn Village,Brooklyn Village,225.46
100 N TRYON ST,28202,35.227199,-80.843083,Central,476,2019/06/26 00:00:00+00,Indoors,Commercial Place,Financial Institution,Counterfeiting/Forgery,2,Fraud and Financial Crimes,CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2025/08/28 00:00:00+00,Other,Open Area,Cyberspace,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street","384.08,477.44"
500 N COLLEGE ST,28202,35.229332,-80.837656,Central,476,2017/11/05 00:00:00+00,Outdoors,Commercial Place,Restaurant/Diner/Coffee Shop,Simple Assault,0,"""Violent and Public Safety Offenses""",9th Street,"7th Street,9th Street","237.09,245.11"
400 E 4TH ST,28202,35.223788,-80.841164,Central,476,2017/06/11 00:00:00+00,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","135.98,173.67"
400 S CHURCH ST,28202,35.225846,-80.847447,Central,476,2025/08/26 00:00:00+00,Indoors,Commercial Place,Other - Commercial Place,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",3rd St/Convention,3rd St/Convention,469.97
600 N CALDWELL ST,28202,35.22815,-80.832776,Central,476,2020/08/12 00:00:00+00,Outdoors,Residential,Public Housing Private,All Other Thefts,8,Theft and Vehicle Offenses,9th Street,9th Street,265.53
2100 HAWKINS ST,28203,35.210672,-80.86189,Central,338,2023/01/25 00:00:00+00,Outdoors,Open Area,Construction Site,All Other Thefts,8,Theft and Vehicle Offenses,East/West,East/West,284.72
500 E MARTIN LUTHER KING JR BV,28202,35.221184,-80.842679,Central,476,2022/01/23 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,Trespass Of Real Property,1,"""Regulatory and Non-Violent Offenses""",3rd St/Convention,"3rd St/Convention,Brooklyn Village","271.27,388.45"
400 E MOREHEAD ST,28202,35.218651,-80.848905,Providence,3,2019/06/30 00:00:00+00,Indoors,Commercial Place,Fitness Center,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",Brooklyn Village,"Carson,Brooklyn Village","177.18,352.49"
600 N CHURCH ST,28202,35.232696,-80.837638,Central,476,2020/05/29 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Credit Card/Teller Fraud,2,Fraud and Financial Crimes,9th Street,9th Street,409.9
600 E BROOKLYN VILLAGE AV,28202,35.219052,-80.843542,Central,3,2022/08/13 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,False Pretenses/Swindle,2,Fraud and Financial Crimes,Brooklyn Village,Brooklyn Village,403.56
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2017/01/17 00:00:00+00,Indoors,Public/Non-Residential,Government Building,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street","384.08,477.44"
900 N COLLEGE ST,28202,35.232917,-80.832622,Central,476,2020/07/16 00:00:00+00,Indoors,Residential,Shelter-Mission/Homeless,Intimidation,7,"""Coercive and Violent Offenses""",9th Street,9th Street,417.26
400 E MARTIN LUTHER KING JR BV,28202,35.222248,-80.843363,Central,476,2018/02/23 00:00:00+00,Parking Lot,Commercial Place,Hotel/Motel,Intimidation,7,"""Coercive and Violent Offenses""",CTC/Arena,"3rd St/Convention,Brooklyn Village,CTC/Arena","153.54,339.15,354.1"
400 E MOREHEAD ST,28202,35.218651,-80.848905,Providence,3,2022/01/07 00:00:00+00,Indoors,Commercial Place,Fitness Center,All Other Thefts,8,Theft and Vehicle Offenses,Brooklyn Village,"Carson,Brooklyn Village","177.18,352.49"
2100 SOUTH BV,28202,35.207769,-80.860343,Central,3,2021/10/26 00:00:00+00,Outdoors,Residential,Apartment/Duplex Private Res,Motor Vehicle Theft,8,Theft and Vehicle Offenses,East/West,East/West,474.73
200 S TRYON ST,28202,35.226412,-80.844208,Central,476,2023/05/29 00:00:00+00,Parking Deck,Commercial Place,Hotel/Motel,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,CTC/Arena,"CTC/Arena,3rd St/Convention","300.47,327.83"
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2017/11/10 00:00:00+00,Outdoors,Open Area,Bus Stop,Missing Person,9,"""Fatal Incidents and Investigations""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
200 N BREVARD ST,28202,35.225754,-80.838332,Central,476,2022/01/30 00:00:00+00,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"7th Street,CTC/Arena","164.45,290.57"
300 N TRYON ST,28202,35.228772,-80.840838,Central,476,2019/01/15 00:00:00+00,Indoors,Commercial Place,Other - Commercial Place,Simple Assault,0,"""Violent and Public Safety Offenses""",7th Street,"7th Street,CTC/Arena","305.82,421.32"
500 E 4TH ST,28202,35.222953,-80.840194,Central,476,2019/05/10 00:00:00+00,Outdoors,Open Area,Other - Open Area,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,3rd St/Convention,7th Street","251.76,270.8,511.51"
200 S TRYON ST,28202,35.226412,-80.844208,Central,476,2023/10/21 00:00:00+00,Parking Deck,Commercial Place,Hotel/Motel,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,CTC/Arena,"CTC/Arena,3rd St/Convention","300.47,327.83"
200 S TRYON ST,28202,35.226412,-80.844208,Central,476,2023/10/12 00:00:00+00,Parking Deck,Public/Non-Residential,Other - Public/Non-Residential,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,CTC/Arena,"CTC/Arena,3rd St/Convention","300.47,327.83"
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2018/01/01 00:00:00+00,Indoors,Residential,Private Residence,Forcible Sodomy,3,Sexual Assault Crimes,7th Street,"CTC/Arena,7th Street","384.08,477.44"
300 W TREMONT AV,28203,35.210672,-80.86189,Central,338,2022/03/01 00:00:00+00,Outdoors,Commercial Place,Bar/Tavern/Nightclub,Weapon Law Violations,1,"""Regulatory and Non-Violent Offenses""",East/West,East/West,284.72
400 N TRYON ST,28202,35.229505,-80.839786,Central,476,2020/07/04 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Thefts,8,Theft and Vehicle Offenses,9th Street,"7th Street,9th Street","298.13,436.04"
200 S COLLEGE ST,28202,35.225467,-80.843098,Central,476,2017/06/02 00:00:00+00,Indoors,Commercial Place,Financial Institution,False Pretenses/Swindle,2,Fraud and Financial Crimes,CTC/Arena,"CTC/Arena,3rd St/Convention","163.83,205.97"
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2020/03/09 00:00:00+00,Parking Lot,Open Area,Other - Open Area,Theft of Motor Vehicle Parts from Vehicle,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
200 W TRADE ST,28202,35.228131,-80.844166,Central,476,2024/06/09 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,CTC/Arena,429.4
200 S CHURCH ST,28202,35.22733,-80.845307,Central,476,2017/08/02 00:00:00+00,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,All Other Thefts,8,Theft and Vehicle Offenses,CTC/Arena,"CTC/Arena,3rd St/Convention","440.26,460.44"
100 W WORTHINGTON AV,28203,35.211597,-80.859634,Central,388,2022/04/21 00:00:00+00,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",East/West,East/West,56.84
500 E MARTIN LUTHER KING JR BV,28202,35.221184,-80.842679,Central,476,2019/11/10 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,Trespass Of Real Property,1,"""Regulatory and Non-Violent Offenses""",3rd St/Convention,"3rd St/Convention,Brooklyn Village","271.27,388.45"
500 N COLLEGE ST,28202,35.229332,-80.837656,Central,476,2019/02/06 00:00:00+00,Outdoors,Open Area,Street/Highway,Weapon Law Violations,1,"""Regulatory and Non-Violent Offenses""",9th Street,"7th Street,9th Street","237.09,245.11"
200 N COLLEGE ST,28202,35.227041,-80.840856,Central,476,2024/04/11 00:00:00+00,Outdoors,Open Area,Other - Open Area,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street,3rd St/Convention","231.51,255.21,430.12"
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2022/08/08 00:00:00+00,Other,Open Area,Cyberspace,Pornography/Obscene Material,5,Sexual Exploitation Crimes,7th Street,"CTC/Arena,7th Street","384.08,477.44"
600 N DAVIDSON ST,28202,35.227292,-80.831863,Central,476,2018/07/05 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Simple Assault,0,"""Violent and Public Safety Offenses""",9th Street,9th Street,390.9
