YEAR,LOCATION,ZIP,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,DATE_REPORTED,LOCATION_TYPE_DESCRIPTION,PLACE_TYPE_DESCRIPTION,PLACE_DETAIL_DESCRIPTION,HIGHEST_NIBRS_DESCRIPTION,cluster,cluster_title,index_right,name,lat,lon,tempmax,tempmin,temp,precip,precipcover,cloudcover,humidity,windspeed,visibility,snow,conditions,DATE_INCIDENT_BEGAN,nearest_station,stations_in_radius,stations_in_radius_dist_m,x,y,x_snap,y_snap,centroid_id,nearest_tree_dist_m,trees_within_10m,trees_within_25m,trees_within_50m,nearest_tree_dist_ft
2021,300 E TRADE ST,28202,35.23,-80.84,Central,476,2021-01-13,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",1,7th Street,35.22722,-80.83806,56.3,27.8,40.9,0.0,0.0,34.5,80.2,9.5,7.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2021,300 E TRADE ST,28202,35.23,-80.84,Central,476,2021-01-13,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,56.3,27.8,40.9,0.0,0.0,34.5,80.2,9.5,7.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2021,300 E TRADE ST,28202,35.23,-80.84,Central,476,2021-01-13,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,56.3,27.8,40.9,0.0,0.0,34.5,80.2,9.5,7.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2024,900 N COLLEGE ST,28206,35.23,-80.83,Central,476,2024-10-14,Indoors,Residential,Other - Residential,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",0,9th Street,35.2297,-80.835,74.6,53.0,67.4,0.0,0.0,22.3,49.5,16.8,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2018,200 S TRYON ST,28202,35.23,-80.84,Central,476,2018-12-25,Parking Deck,Commercial Place,Hotel/Motel,Theft From Motor Vehicle,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,52.8,27.3,39.5,0.0,0.0,40.0,64.0,5.6,9.6,0.0,Partially cloudy,,,,,,,,,,,,,,
2018,200 S TRYON ST,28202,35.23,-80.84,Central,476,2018-12-25,Parking Deck,Commercial Place,Hotel/Motel,Theft From Motor Vehicle,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,52.8,27.3,39.5,0.0,0.0,40.0,64.0,5.6,9.6,0.0,Partially cloudy,,,,,,,,,,,,,,
2019,100 W TREMONT AV,28203,35.21,-80.86,Central,338,2019-03-31,Parking Deck,Residential,Apartment/Duplex Private Res,Damage/Vandalism Of Property,1,Property Theft and Vandalism,7,East/West,35.21194,-80.85917,66.0,47.1,60.0,0.115,12.5,71.1,54.5,17.6,9.7,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2020,300 W BLAND ST,28203,35.22,-80.86,Central,339,2020-02-16,Outdoors,Open Area,Construction Site,Burglary/B&E,7,"""Fraud and Theft Crimes""",6,Bland,35.21583,-80.85528,48.8,33.2,42.6,0.0,0.0,75.7,67.8,6.6,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2024,400 N COLLEGE ST,28202,35.23,-80.84,Central,476,2024-07-21,Outdoors,Open Area,Street/Highway,Theft From Motor Vehicle,1,Property Theft and Vandalism,0,9th Street,35.2297,-80.835,87.6,71.7,76.6,0.406,25.0,84.7,83.6,7.4,8.7,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2024,400 N COLLEGE ST,28202,35.23,-80.84,Central,476,2024-07-21,Outdoors,Open Area,Street/Highway,Theft From Motor Vehicle,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,87.6,71.7,76.6,0.406,25.0,84.7,83.6,7.4,8.7,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2024,400 N COLLEGE ST,28202,35.23,-80.84,Central,476,2024-07-21,Outdoors,Open Area,Street/Highway,Theft From Motor Vehicle,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,87.6,71.7,76.6,0.406,25.0,84.7,83.6,7.4,8.7,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2025,300 E TRADE ST,28202,35.23,-80.84,Central,476,2025-01-22,Outdoors,Public/Non-Residential,Air/Bus/Train Terminal,Drug/Narcotic Violations,3,"""Regulatory and Nonviolent Offenses""",1,7th Street,35.22722,-80.83806,31.8,18.9,25.1,0.0,0.0,35.6,44.3,15.1,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2025,300 E TRADE ST,28202,35.23,-80.84,Central,476,2025-01-22,Outdoors,Public/Non-Residential,Air/Bus/Train Terminal,Drug/Narcotic Violations,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,31.8,18.9,25.1,0.0,0.0,35.6,44.3,15.1,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2025,300 E TRADE ST,28202,35.23,-80.84,Central,476,2025-01-22,Outdoors,Public/Non-Residential,Air/Bus/Train Terminal,Drug/Narcotic Violations,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,31.8,18.9,25.1,0.0,0.0,35.6,44.3,15.1,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2025,600 E TRADE ST,28202,35.22,-80.84,Central,476,2025-07-11,Other,Commercial Place,Other - Commercial Place,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",1,7th Street,35.22722,-80.83806,88.8,71.8,78.7,0.002,8.33,80.6,76.7,7.5,9.6,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2025,600 E TRADE ST,28202,35.22,-80.84,Central,476,2025-07-11,Other,Commercial Place,Other - Commercial Place,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,88.8,71.8,78.7,0.002,8.33,80.6,76.7,7.5,9.6,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2024,600 E BROOKLYN VILLAGE AV,28202,35.22,-80.84,Central,3,2024-10-28,Parking Deck,Residential,Common Area of Multi-Family Dwelling,All Other Thefts,1,Property Theft and Vandalism,4,Brooklyn Village,35.22139,-80.84694,66.6,50.0,57.6,0.0,0.0,59.1,69.1,6.1,9.7,0.0,Partially cloudy,,,,,,,,,,,,,,
2023,200 S TRYON ST,28202,35.23,-80.84,Central,476,2023-12-24,Parking Deck,Commercial Place,Hotel/Motel,Theft From Motor Vehicle,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,66.7,37.6,52.1,0.0,0.0,48.8,65.0,5.5,9.6,0.0,Partially cloudy,,,,,,,,,,,,,,
2023,200 S TRYON ST,28202,35.23,-80.84,Central,476,2023-12-24,Parking Deck,Commercial Place,Hotel/Motel,Theft From Motor Vehicle,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,66.7,37.6,52.1,0.0,0.0,48.8,65.0,5.5,9.6,0.0,Partially cloudy,,,,,,,,,,,,,,
2022,2000 SOUTH BV,28203,35.21,-80.86,Central,3,2022-07-03,Indoors,Retail,Other - Retail,Shoplifting,7,"""Fraud and Theft Crimes""",7,East/West,35.21194,-80.85917,95.5,71.6,80.9,0.013,4.17,59.0,72.0,18.5,9.8,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2025,300 W TRADE ST,28202,35.23,-80.85,Central,476,2025-12-10,Indoors,Residential,Apartment/Duplex Private Res,Burglary/B&E,7,"""Fraud and Theft Crimes""",2,CTC/Arena,35.225,-80.84139,56.1,32.8,44.4,0.0,0.0,32.3,63.3,22.3,9.1,0.0,Partially cloudy,,,,,,,,,,,,,,
2023,500 E 9TH ST,28202,35.23,-80.83,Central,476,2023-01-11,Outdoors,Residential,Private Residence,All Other Thefts,1,Property Theft and Vandalism,0,9th Street,35.2297,-80.835,60.9,35.1,49.0,0.0,0.0,74.0,66.6,10.5,9.7,0.0,Partially cloudy,,,,,,,,,,,,,,
2023,500 E 9TH ST,28202,35.23,-80.83,Central,476,2023-01-11,Outdoors,Residential,Private Residence,All Other Thefts,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,60.9,35.1,49.0,0.0,0.0,74.0,66.6,10.5,9.7,0.0,Partially cloudy,,,,,,,,,,,,,,
2024,200 S COLLEGE ST,28202,35.23,-80.84,Central,476,2024-01-14,Parking Deck,Public/Non-Residential,Other - Public/Non-Residential,Theft From Motor Vehicle,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,56.9,30.4,43.4,0.0,0.0,31.7,51.2,17.9,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2024,200 S COLLEGE ST,28202,35.23,-80.84,Central,476,2024-01-14,Parking Deck,Public/Non-Residential,Other - Public/Non-Residential,Theft From Motor Vehicle,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,56.9,30.4,43.4,0.0,0.0,31.7,51.2,17.9,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2024,300 E TRADE ST,28202,35.23,-80.84,Central,476,2024-06-06,Outdoors,Public/Non-Residential,Air/Bus/Train Terminal,Drug/Narcotic Violations,3,"""Regulatory and Nonviolent Offenses""",1,7th Street,35.22722,-80.83806,87.8,70.8,77.7,0.022,12.5,76.6,74.5,16.2,9.1,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2024,300 E TRADE ST,28202,35.23,-80.84,Central,476,2024-06-06,Outdoors,Public/Non-Residential,Air/Bus/Train Terminal,Drug/Narcotic Violations,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,87.8,70.8,77.7,0.022,12.5,76.6,74.5,16.2,9.1,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2024,300 E TRADE ST,28202,35.23,-80.84,Central,476,2024-06-06,Outdoors,Public/Non-Residential,Air/Bus/Train Terminal,Drug/Narcotic Violations,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,87.8,70.8,77.7,0.022,12.5,76.6,74.5,16.2,9.1,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2020,300 DOGGETT ST,28203,35.21,-80.86,Central,388,2020-05-28,Indoors,Residential,Apartment/Duplex Private Res,Identity Theft,1,Property Theft and Vandalism,7,East/West,35.21194,-80.85917,82.9,64.1,73.0,0.041,25.0,61.5,82.0,10.0,8.7,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2022,500 E 6TH ST,28202,35.23,-80.84,Central,476,2022-11-24,Outdoors,Open Area,Street/Highway,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",1,7th Street,35.22722,-80.83806,65.0,36.2,52.7,0.003,4.17,76.0,46.9,8.3,9.7,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2022,500 E 6TH ST,28202,35.23,-80.84,Central,476,2022-11-24,Outdoors,Open Area,Street/Highway,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,65.0,36.2,52.7,0.003,4.17,76.0,46.9,8.3,9.7,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2019,500 E 7TH ST,28202,35.23,-80.84,Central,476,2019-02-02,Parking Lot,Open Area,Street/Highway,Theft From Motor Vehicle,1,Property Theft and Vandalism,0,9th Street,35.2297,-80.835,65.1,31.9,48.7,0.0,0.0,15.0,49.3,6.6,9.9,0.0,Clear,,,,,,,,,,,,,,
2019,500 E 7TH ST,28202,35.23,-80.84,Central,476,2019-02-02,Parking Lot,Open Area,Street/Highway,Theft From Motor Vehicle,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,65.1,31.9,48.7,0.0,0.0,15.0,49.3,6.6,9.9,0.0,Clear,,,,,,,,,,,,,,
2023,200 E 7TH ST,28202,35.23,-80.84,Central,476,2023-06-14,Outdoors,Open Area,Street/Highway,Aggravated Assault,4,Sexual Violence Offenses,0,9th Street,35.2297,-80.835,81.9,57.3,70.9,0.0,0.0,45.7,67.6,14.4,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2023,200 E 7TH ST,28202,35.23,-80.84,Central,476,2023-06-14,Outdoors,Open Area,Street/Highway,Aggravated Assault,4,Sexual Violence Offenses,1,7th Street,35.22722,-80.83806,81.9,57.3,70.9,0.0,0.0,45.7,67.6,14.4,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2023,200 E 7TH ST,28202,35.23,-80.84,Central,476,2023-06-14,Outdoors,Open Area,Street/Highway,Aggravated Assault,4,Sexual Violence Offenses,2,CTC/Arena,35.225,-80.84139,81.9,57.3,70.9,0.0,0.0,45.7,67.6,14.4,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2024,2100 SOUTH BV,28203,35.21,-80.86,Central,3,2024-12-11,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,All Other Thefts,1,Property Theft and Vandalism,7,East/West,35.21194,-80.85917,62.9,34.5,54.1,1.252,50.0,70.9,74.4,23.7,7.5,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2017,300 E TRADE ST,28202,35.23,-80.84,Central,476,2017-08-27,Indoors,Public/Non-Residential,Air/Bus/Train Terminal,Counterfeiting/Forgery,8,Fraudulent Identity Crimes,1,7th Street,35.22722,-80.83806,83.8,67.7,75.9,0.0,0.0,33.0,62.5,12.8,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,300 E TRADE ST,28202,35.23,-80.84,Central,476,2017-08-27,Indoors,Public/Non-Residential,Air/Bus/Train Terminal,Counterfeiting/Forgery,8,Fraudulent Identity Crimes,2,CTC/Arena,35.225,-80.84139,83.8,67.7,75.9,0.0,0.0,33.0,62.5,12.8,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,300 E TRADE ST,28202,35.23,-80.84,Central,476,2017-08-27,Indoors,Public/Non-Residential,Air/Bus/Train Terminal,Counterfeiting/Forgery,8,Fraudulent Identity Crimes,3,3rd St/Convention,35.22361,-80.84306,83.8,67.7,75.9,0.0,0.0,33.0,62.5,12.8,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2021,1400 CAMDEN RD,28203,35.22,-80.86,Central,339,2021-02-12,Parking Lot,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,1,Property Theft and Vandalism,6,Bland,35.21583,-80.85528,40.9,34.1,36.5,0.069,16.67,100.0,91.1,12.6,6.4,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2021,1400 CAMDEN RD,28203,35.22,-80.86,Central,339,2021-02-12,Parking Lot,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,1,Property Theft and Vandalism,7,East/West,35.21194,-80.85917,40.9,34.1,36.5,0.069,16.67,100.0,91.1,12.6,6.4,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2020,300 W TREMONT AV,28203,35.21,-80.86,Central,338,2020-06-25,Parking Deck,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,1,Property Theft and Vandalism,7,East/West,35.21194,-80.85917,86.6,70.0,75.6,0.108,37.5,62.4,76.5,9.0,9.8,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2017,200 E TRADE ST,28202,35.23,-80.84,Central,476,2017-07-19,Outdoors,Commercial Place,Bar/Tavern/Nightclub,Trespass Of Real Property,3,"""Regulatory and Nonviolent Offenses""",1,7th Street,35.22722,-80.83806,93.1,68.8,78.8,0.146,8.33,39.9,70.4,10.8,9.8,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2017,200 E TRADE ST,28202,35.23,-80.84,Central,476,2017-07-19,Outdoors,Commercial Place,Bar/Tavern/Nightclub,Trespass Of Real Property,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,93.1,68.8,78.8,0.146,8.33,39.9,70.4,10.8,9.8,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2017,200 E TRADE ST,28202,35.23,-80.84,Central,476,2017-07-19,Outdoors,Commercial Place,Bar/Tavern/Nightclub,Trespass Of Real Property,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,93.1,68.8,78.8,0.146,8.33,39.9,70.4,10.8,9.8,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2024,700 S CHURCH ST,28202,35.22,-80.85,Central,476,2024-02-24,Parking Deck,Public/Non-Residential,Other - Public/Non-Residential,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",4,Brooklyn Village,35.22139,-80.84694,59.7,40.6,49.2,0.0,0.0,44.7,47.3,21.2,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2020,900 N COLLEGE ST,28206,35.23,-80.83,Central,476,2020-11-23,Indoors,Residential,Shelter-Mission/Homeless,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",0,9th Street,35.2297,-80.835,63.9,46.6,54.9,0.0,0.0,24.5,58.7,11.3,8.4,0.0,Partially cloudy,,,,,,,,,,,,,,
2018,200 E TRADE ST,28202,35.23,-80.84,Central,476,2018-07-16,Outdoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,89.1,75.5,79.9,0.001,4.17,77.3,78.4,16.5,9.3,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2018,200 E TRADE ST,28202,35.23,-80.84,Central,476,2018-07-16,Outdoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,89.1,75.5,79.9,0.001,4.17,77.3,78.4,16.5,9.3,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2018,200 E TRADE ST,28202,35.23,-80.84,Central,476,2018-07-16,Outdoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,89.1,75.5,79.9,0.001,4.17,77.3,78.4,16.5,9.3,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2019,300 E TRADE ST,28202,35.23,-80.84,Central,476,2019-01-20,Outdoors,Public/Non-Residential,Air/Bus/Train Terminal,Aggravated Assault,4,Sexual Violence Offenses,1,7th Street,35.22722,-80.83806,57.0,29.1,45.4,0.353,8.33,47.2,63.1,19.3,9.4,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2019,300 E TRADE ST,28202,35.23,-80.84,Central,476,2019-01-20,Outdoors,Public/Non-Residential,Air/Bus/Train Terminal,Aggravated Assault,4,Sexual Violence Offenses,2,CTC/Arena,35.225,-80.84139,57.0,29.1,45.4,0.353,8.33,47.2,63.1,19.3,9.4,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2019,300 E TRADE ST,28202,35.23,-80.84,Central,476,2019-01-20,Outdoors,Public/Non-Residential,Air/Bus/Train Terminal,Aggravated Assault,4,Sexual Violence Offenses,3,3rd St/Convention,35.22361,-80.84306,57.0,29.1,45.4,0.353,8.33,47.2,63.1,19.3,9.4,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2021,500 S BREVARD ST,28202,35.22,-80.84,Central,476,2021-07-15,Outdoors,Open Area,Street/Highway,Theft From Motor Vehicle,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,91.9,71.2,80.9,0.316,4.17,45.7,71.7,10.4,9.5,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2021,500 S BREVARD ST,28202,35.22,-80.84,Central,476,2021-07-15,Outdoors,Open Area,Street/Highway,Theft From Motor Vehicle,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,91.9,71.2,80.9,0.316,4.17,45.7,71.7,10.4,9.5,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2021,500 S BREVARD ST,28202,35.22,-80.84,Central,476,2021-07-15,Outdoors,Open Area,Street/Highway,Theft From Motor Vehicle,1,Property Theft and Vandalism,4,Brooklyn Village,35.22139,-80.84694,91.9,71.2,80.9,0.316,4.17,45.7,71.7,10.4,9.5,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2023,1400 S TRYON ST,28203,35.22,-80.86,Central,339,2023-10-13,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,All Other Thefts,1,Property Theft and Vandalism,6,Bland,35.21583,-80.85528,79.7,51.9,65.6,0.0,0.0,38.4,67.8,8.9,9.1,0.0,Partially cloudy,,,,,,,,,,,,,,
2021,1000 S TRYON ST,28203,35.22,-80.85,Central,476,2021-10-26,Parking Lot,Public/Non-Residential,Other - Public/Non-Residential,Motor Vehicle Theft,1,Property Theft and Vandalism,4,Brooklyn Village,35.22139,-80.84694,70.9,51.7,61.0,0.0,0.0,16.1,60.4,17.0,9.7,0.0,Clear,,,,,,,,,,,,,,
2021,1000 S TRYON ST,28203,35.22,-80.85,Central,476,2021-10-26,Parking Lot,Public/Non-Residential,Other - Public/Non-Residential,Motor Vehicle Theft,1,Property Theft and Vandalism,5,Carson,35.21889,-80.85083,70.9,51.7,61.0,0.0,0.0,16.1,60.4,17.0,9.7,0.0,Clear,,,,,,,,,,,,,,
2023,200 N TRYON ST,28202,35.23,-80.84,Central,476,2023-02-20,Parking Deck,Commercial Place,Other - Commercial Place,All Other Thefts,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,68.7,44.9,57.5,0.0,0.0,71.3,58.5,13.5,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2023,200 N TRYON ST,28202,35.23,-80.84,Central,476,2023-02-20,Parking Deck,Commercial Place,Other - Commercial Place,All Other Thefts,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,68.7,44.9,57.5,0.0,0.0,71.3,58.5,13.5,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2021,900 N COLLEGE ST,28202,35.23,-80.83,Central,476,2021-12-10,Indoors,Commercial Place,Other - Commercial Place,Aggravated Assault,4,Sexual Violence Offenses,0,9th Street,35.2297,-80.835,53.1,44.5,48.8,0.031,20.83,99.2,87.5,8.1,5.4,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2023,100 W MOREHEAD ST,28202,35.22,-80.85,Central,476,2023-01-05,Outdoors,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,1,Property Theft and Vandalism,5,Carson,35.21889,-80.85083,65.9,44.4,55.7,0.0,0.0,17.7,57.4,16.6,9.8,0.0,Clear,,,,,,,,,,,,,,
2023,100 E TRADE ST,28202,35.23,-80.84,Central,476,2023-07-09,Outdoors,Open Area,Street/Highway,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,88.7,72.6,79.0,0.043,8.33,69.0,72.0,11.6,9.8,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2023,100 E TRADE ST,28202,35.23,-80.84,Central,476,2023-07-09,Outdoors,Open Area,Street/Highway,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,88.7,72.6,79.0,0.043,8.33,69.0,72.0,11.6,9.8,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2024,400 S CHURCH ST,28202,35.23,-80.85,Central,476,2024-01-19,Outdoors,Open Area,Street/Highway,Stolen Property Offenses,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,52.0,29.1,41.0,0.0,0.0,37.6,46.1,23.0,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,600 E TRADE ST,28202,35.22,-80.84,Central,476,2017-01-17,Indoors,Public/Non-Residential,Government Building,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",1,7th Street,35.22722,-80.83806,63.9,48.9,55.9,0.0,0.0,83.2,84.3,14.1,6.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,600 E TRADE ST,28202,35.22,-80.84,Central,476,2017-01-17,Indoors,Public/Non-Residential,Government Building,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,63.9,48.9,55.9,0.0,0.0,83.2,84.3,14.1,6.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2019,2200 HAWKINS ST,28203,35.21,-80.86,Central,338,2019-01-07,Parking Deck,Residential,Apartment/Duplex Private Res,All Other Thefts,1,Property Theft and Vandalism,7,East/West,35.21194,-80.85917,57.1,49.6,52.9,0.0,0.0,65.1,60.5,11.6,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2019,300 E TRADE ST,28262,35.23,-80.84,Central,476,2019-08-02,Other,Public/Non-Residential,Air/Bus/Train Terminal,All Other Thefts,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,85.5,69.4,75.1,0.139,8.33,57.2,78.7,19.4,8.3,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2019,300 E TRADE ST,28262,35.23,-80.84,Central,476,2019-08-02,Other,Public/Non-Residential,Air/Bus/Train Terminal,All Other Thefts,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,85.5,69.4,75.1,0.139,8.33,57.2,78.7,19.4,8.3,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2019,300 E TRADE ST,28262,35.23,-80.84,Central,476,2019-08-02,Other,Public/Non-Residential,Air/Bus/Train Terminal,All Other Thefts,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,85.5,69.4,75.1,0.139,8.33,57.2,78.7,19.4,8.3,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2020,200 N CHURCH ST,28202,35.23,-80.84,Central,476,2020-01-04,Indoors,Residential,Apartment/Duplex Private Res,Burglary/B&E,7,"""Fraud and Theft Crimes""",2,CTC/Arena,35.225,-80.84139,65.2,43.0,55.0,0.276,50.0,71.0,74.8,17.9,7.7,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2018,200 W MARTIN LUTHER KING JR BV,28202,35.23,-80.85,Central,476,2018-07-17,Parking Deck,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,90.1,74.0,79.9,0.0,0.0,83.0,81.8,10.7,8.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2019,300 E 4TH ST,28202,35.23,-80.84,Central,476,2019-11-04,Outdoors,Open Area,Street/Highway,Drug/Narcotic Violations,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,60.9,33.6,49.4,0.0,0.0,36.6,64.4,5.3,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2019,300 E 4TH ST,28202,35.23,-80.84,Central,476,2019-11-04,Outdoors,Open Area,Street/Highway,Drug/Narcotic Violations,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,60.9,33.6,49.4,0.0,0.0,36.6,64.4,5.3,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2025,500 E MOREHEAD ST,28202,35.22,-80.85,Providence,3,2025-04-06,Parking Lot,Commercial Place,Fitness Center,Theft From Motor Vehicle,1,Property Theft and Vandalism,5,Carson,35.21889,-80.85083,79.9,66.0,72.8,0.013,12.5,72.6,66.2,13.5,9.8,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2019,100 S BREVARD ST,28202,35.22,-80.84,Central,476,2019-03-30,Parking Lot,Commercial Place,Other - Commercial Place,Simple Assault,4,Sexual Violence Offenses,1,7th Street,35.22722,-80.83806,76.8,56.0,65.9,0.0,0.0,54.7,47.2,16.7,9.7,0.0,Partially cloudy,,,,,,,,,,,,,,
