OBJECTID,GEOID,Minor_pct,Poverty_pct,Senior_pct,BIPOC_pct,ZeroCar_pct,Disability_pct,LEP_pct,Score_State,Score_Division,Score_MPO,Score_County,Key_CountyFIPS,Key_DivNbr,Key_MPO,GlobalID,Shape__Area,Shape__Length
3921,371570407004,0,0.425271739,0.445652174,0.059782609,0.076152305,0.422437673,0,9.5,8.5,10.5,10.5,157,7,Piedmont Triad RPO,3bb40b49-78a7-471e-ac63-277bdbb0fc8a,0.000993918775066049,0.157508916417372
3922,370879203002,0.100483092,0.15942029,0.319806763,0.032850242,0.069582505,0.260532151,0,7.5,8.5,9.5,8.5,87,14,French Broad River MPO,4d300616-e4e2-4af0-a03e-b98b2130e992,0.000174921537791306,0.0721698480922147
3923,370879203003,0.203470032,0.282334385,0.146687697,0.085173502,0.179401993,0.211382114,0,12,13,12,14,87,14,French Broad River MPO,12cf24d0-49f2-4498-97f7-456c61da1ebf,0.000375499409074109,0.100986402103209
3924,370690604012,0.211382114,0.307317073,0.188617886,0.250406504,0.156308851,0.245575221,0.074365704,13,13,14,13.5,69,5,Capital Area MPO,c22d398b-ce63-4121-b285-6480e68af1e3,0.00254498036747464,0.35214627104251
3925,370690604041,0.184172662,0.553956835,0.156834532,0.782733813,0,0.038800705,0.015918958,13.5,12.5,12.5,12.5,69,5,Capital Area MPO,d77c0585-4a66-4039-b626-54707e1af92c,0.00348500608629365,0.283623476081401
3926,370690604042,0.175034868,0.269874477,0.285913529,0.69944212,0.08115942,0.353700516,0.005131965,15,14,15,15,69,5,Capital Area MPO,b0f1a92d-32aa-4a2d-a854-0c1345eeb002,0.00172673204610874,0.179931131551335
3927,370690606021,0.241769289,0.299824076,0.144006032,0.19301332,0,0.167061211,0.013944757,11,10.5,10.5,10,69,5,Capital Area MPO,195c9fc3-2455-4bb6-9184-f96bc8b71c70,0.00456126713538652,0.371195508115975
3928,370690604032,0.171565277,0.392344498,0.155160629,0.492822967,0.135483871,0.230572161,0.09039548,15,14.5,16,14,69,5,Capital Area MPO,63e49a5d-dc37-4b19-9c8f-24b8b94ba390,0.0039710025905606,0.294740580259014
3929,370690606012,0.03526971,0.237551867,0.22406639,0.385892116,0.101265823,0.422018349,0,12.5,12.5,11.5,12.5,69,5,Capital Area MPO,96b53c02-100e-44fe-90c8-21b5b2bbd176,0.00148629551608792,0.185116183546145
3930,370690607022,0.097994269,0.252148997,0.453295129,0.420057307,0,0.373831776,0.049405879,11,11,9.5,11.5,69,5,Kerr-Tar RPO,3eb1982a-bf01-4d66-ac99-4a8acca09a29,0.00721554105643918,0.487186236159017
3931,370690607011,0.254519161,0.137382502,0.093275488,0.530730296,0,0.1842871,0.196485623,13,12,13,14,69,5,Kerr-Tar RPO,92271c73-b456-4fb1-964c-91521ab75d1a,0.00614279411615826,0.466237867191589
