INCIDENT_REPORT_ID,LOCATION,ZIP,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,LOCATION_TYPE_DESCRIPTION,PLACE_TYPE_DESCRIPTION,PLACE_DETAIL_DESCRIPTION,HIGHEST_NIBRS_DESCRIPTION,date,year,hour,day_type,cluster,cluster_title,geometry,nearest_station,station_list
20231127-1520-04,2200 HAWKINS ST,28208,35.208609,-80.863631,Central,338,Parking Lot,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,2023-11-27,2023,15,Weekday,1,Property Theft and Vandalism,POINT (-80.863631 35.208609),East/West,['East/West']
20250417-1455-01,600 N DAVIDSON ST,28208,35.22752,-80.831546,Central,476,Indoors,Residential,Apartment/Duplex Private Res,Intimidation,2025-04-17,2025,14,Weekday,7,"""Financial and Personal Crimes""",POINT (-80.831546 35.22752),9th Street,['9th Street']
20250904-2301-01,100 S POPLAR ST,28208,35.228968,-80.84514,Central,476,Outdoors,Open Area,Other - Open Area,Drug/Narcotic Violations,2025-09-04,2025,23,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.84514 35.228968),CTC/Arena,['CTC/Arena']
20190623-0447-00,300 E TRADE ST,28208,35.226243,-80.841973,Central,476,Outdoors,Open Area,Bus Stop,Pocket-Picking,2019-06-23,2019,4,Sunday,7,"""Financial and Personal Crimes""",POINT (-80.841973 35.226243),CTC/Arena,"['CTC/Arena', '3rd St/Convention', '7th Street']"
20241203-1928-01,200 E BLAND ST,28208,35.217008,-80.854286,Central,339,Indoors,Commercial Place,Bar/Tavern/Nightclub,Other Unlisted Non-Criminal,2024-12-03,2024,19,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.854286 35.217008),Bland,['Bland']
20250317-2125-00,300 E TRADE ST,28208,35.226243,-80.841973,Central,476,Indoors,Public/Non-Residential,Air/Bus/Train Terminal,Drug/Narcotic Violations,2025-03-17,2025,21,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.841973 35.226243),CTC/Arena,"['CTC/Arena', '3rd St/Convention', '7th Street']"
20170825-2131-02,2100 HAWKINS ST,28208,35.210672,-80.86189,Central,338,Outdoors,Open Area,Street/Highway,Indecent Exposure,2017-08-25,2017,21,Weekday,2,Sexual Offenses Against Privacy,POINT (-80.86189 35.210672),East/West,['East/West']
20220420-0915-02,100 W TREMONT AV,28208,35.210487,-80.860549,Central,338,Outdoors,Residential,Apartment/Duplex Private Res,Counterfeiting/Forgery,2022-04-20,2022,9,Weekday,8,Fraudulent Identity Crimes,POINT (-80.860549 35.210487),East/West,['East/West']
20230105-1306-00,300 W MARTIN LUTHER KING JR BV,28208,35.225846,-80.847447,Central,476,Outdoors,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,2023-01-05,2023,13,Weekday,1,Property Theft and Vandalism,POINT (-80.847447 35.225846),3rd St/Convention,['3rd St/Convention']
20200120-1520-00,300 E TRADE ST,28208,35.226243,-80.841973,Central,476,Outdoors,Open Area,Bus Stop,Drug/Narcotic Violations,2020-01-20,2020,15,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.841973 35.226243),CTC/Arena,"['CTC/Arena', '3rd St/Convention', '7th Street']"
