OBJECTID,Corridor,Station,ProjectName,ProjectAddress,Status,ProjectType,LandUse,ResidentialUnits,AffordableUnits,HotelRooms,WalkDistance,EstimtatedCost,Completed,Developer,PublicFacing,Notes,ImageURL,OfficeSqFeet,RetailSqFeet,NonResSF,DateCompleted,Parking,SecCorridor,ShapeSTArea,ShapeSTLength
299,BLE,OLDC,NE Community Resource Center,201 Eastway Dr.,Under Construction,NEWC,INS,0,0,0,0.4,10700000,,Mecklenburg County,Yes,,,107063,0,107063,,,,318528.212757545,3582.52328179535
300,BLE,OLDC,Library Support Services,103 EASTWAY DR,Complete,ADR,INS,0,0,0,0.4,,2021,Mecklenburg County,Yes,,,49142,0,49142,,,,152548.848933175,1565.90436999406
301,BLE,OLDC,Old Concord at the Blue Line,230 Norhchase Dr,Complete,NEWC,MTF,198,198,0,0.4,23265000,2020,NRP Group,Yes,,,0,0,0,,,,513452.478888235,4128.31141239361
302,BLE,UVC,Tryon Station,7521 TWITTER LN,Under Construction,NEWC,MTF,229,0,0,0.3,52000000,,SR Real Estate Partners,Yes,,,0,0,0,,627,,208686.915082564,2289.88497273204
303,BLE,OLDC,North Tryon Homes,5301 N. Tryon St,Complete,NEWC,MTF,181,181,0,0.4,26200000,2019,NORTH TRYON HOMES LLC,Yes,,,0,0,0,,,,266095.247639352,2058.09794801103
304,BLE,OLDC,Eastway Crossings,301 EASTWAY DR,Proposed,NEWC,MTF,132,132,0,0.5,20000000,,GREYSTONE,Yes,,,0,0,0,,,,201500.688436237,2222.85458164381
305,BLE,UVC,Sanctuary,309 W ROCKY RIVER RD,Complete,NEWC,MTF,205,0,0,0.45,40000000,2014,Sanctuary Management LLC,Yes,,,0,0,0,,,,993277.48625476,4031.05101736176
306,BLE,UVC,University Station Apartments,0 MACFARLANE BV,Complete,NEWC,MTF,309,0,0,0.33,69500000,2020,"UNIVERSITY CITY STATION NORTH, LLC",Yes,,,0,0,0,,1514,,299031.803150439,2933.39820565909
307,BLE,UVC,Top Golf University,8820 IKEA BV,Complete,NEWC,ENT,0,0,0,0.5,,2020,"Cambridge Properties,",Yes,,,,63185,63185,,458,,577428.775518936,3353.87867383665
308,BLE,UVC,Parks Chevrolet,8530 IKEA BV,Complete,NEWC,RET,0,0,0,0.25,,2016,,Yes,,,,34650,34650,,,,257254.542988817,2385.75450945896
309,BLE,UVC,Chipotle,7031 UNIVERSITY CITY BV,Complete,NEWC,RET,0,0,0,0.42,,2016,,Yes,,,0,4402,4402,,,,64350.5270223656,1041.11518137777
