OBJECTID,Tree_ID,Common,DBH,Active,Location,geometry,index_right,name,lat,lon,Deciduous
1764130,110531688,OAK: WILLOW,19.0,1,,POINT (514612.55376737076 3898548.4922691137),1,7th Street,35.22722,-80.83806,1
1764131,110531689,OAK: WILLOW,19.0,1,,POINT (514620.0721993006 3898555.6020915196),0,9th Street,35.2297,-80.835,1
1764131,110531689,OAK: WILLOW,19.0,1,,POINT (514620.0721993006 3898555.6020915196),1,7th Street,35.22722,-80.83806,1
1764132,110531690,OAK: WILLOW,17.0,1,,POINT (514630.39758703293 3898563.99508897),0,9th Street,35.2297,-80.835,1
1764132,110531690,OAK: WILLOW,17.0,1,,POINT (514630.39758703293 3898563.99508897),1,7th Street,35.22722,-80.83806,1
1764133,110531691,OAK: WILLOW,17.0,1,,POINT (514637.442111689 3898569.305382559),0,9th Street,35.2297,-80.835,1
1764134,110531692,OAK: WILLOW,17.0,1,,POINT (514643.9833823899 3898575.155999305),0,9th Street,35.2297,-80.835,1
1764135,110531693,OAK: WILLOW,17.0,1,,POINT (514651.8870349342 3898582.0401992644),0,9th Street,35.2297,-80.835,1
1764136,110531694,OAK: WILLOW,17.0,1,,POINT (514659.08638190205 3898588.3910430046),0,9th Street,35.2297,-80.835,1
1764137,110531695,OAK: WILLOW,13.0,1,,POINT (514675.7182494851 3898604.2280198354),0,9th Street,35.2297,-80.835,1
1764138,110531696,OAK: WILLOW,14.0,1,,POINT (514681.32800254854 3898609.36301429),0,9th Street,35.2297,-80.835,1
1764139,110531697,OAK: WILLOW,19.0,1,,POINT (514687.6200521724 3898615.1212155316),0,9th Street,35.2297,-80.835,1
1764140,110531698,OAK: WILLOW,14.0,1,,POINT (514697.10870794446 3898622.6501108236),0,9th Street,35.2297,-80.835,1
1764141,110531699,OAK: WILLOW,12.0,1,,POINT (514704.8110562068 3898629.043887516),0,9th Street,35.2297,-80.835,1
1764142,110531700,OAK: WILLOW,18.0,1,,POINT (514712.01194044657 3898635.462357943),0,9th Street,35.2297,-80.835,1
1764143,110531701,OAK: WILLOW,16.0,1,,POINT (514718.8868470524 3898642.0743469247),0,9th Street,35.2297,-80.835,1
1764144,110531702,OAK: WILLOW,19.0,1,,POINT (514726.62966489914 3898649.283384654),0,9th Street,35.2297,-80.835,1
1764145,110531703,OAK: WILLOW,19.0,1,,POINT (514734.5430093297 3898654.0439223666),0,9th Street,35.2297,-80.835,1
1764146,110531704,OAK: WILLOW,16.0,1,,POINT (514742.3965726116 3898660.3570516426),0,9th Street,35.2297,-80.835,1
1764147,110531705,OAK: WILLOW,16.0,1,,POINT (514749.90846253774 3898668.535971349),0,9th Street,35.2297,-80.835,1
1764148,110531706,OAK: WILLOW,17.0,1,,POINT (514757.470113163 3898652.384521085),0,9th Street,35.2297,-80.835,1
1764149,110531707,OAK: WILLOW,15.0,1,,POINT (514751.2637071892 3898647.1499103564),0,9th Street,35.2297,-80.835,1
1764150,110531708,OAK: WILLOW,15.0,1,,POINT (514744.44454592763 3898640.997013881),0,9th Street,35.2297,-80.835,1
1764151,110531709,OAK: WILLOW,18.0,1,,POINT (514737.42849071295 3898633.961109029),0,9th Street,35.2297,-80.835,1
1764152,110531710,OAK: WILLOW,18.0,1,,POINT (514731.35512811446 3898628.029125889),0,9th Street,35.2297,-80.835,1
1764153,110531711,OAK: WILLOW,16.0,1,,POINT (514724.31077712815 3898622.6655390575),0,9th Street,35.2297,-80.835,1
1764154,110531712,OAK: WILLOW,16.0,1,,POINT (514715.47577341815 3898614.496657791),0,9th Street,35.2297,-80.835,1
1764155,110531713,OAK: WILLOW,12.0,1,,POINT (514710.35809611494 3898610.6167947655),0,9th Street,35.2297,-80.835,1
1764156,110531714,OAK: WILLOW,14.0,1,,POINT (514705.03040744667 3898605.542179898),0,9th Street,35.2297,-80.835,1
